StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTimeinvite(P);ResponseTimeinvite(C);ResponseTimeinviteStDev(P);ResponseTimeinviteStDev(C);ResponseTimebye(P);ResponseTimebye(C);ResponseTimebyeStDev(P);ResponseTimebyeStDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartitioninvite;ResponseTimeRepartitioninvite_<10;ResponseTimeRepartitioninvite_<20;ResponseTimeRepartitioninvite_<30;ResponseTimeRepartitioninvite_<40;ResponseTimeRepartitioninvite_<50;ResponseTimeRepartitioninvite_<100;ResponseTimeRepartitioninvite_<150;ResponseTimeRepartitioninvite_<200;ResponseTimeRepartitioninvite_>=200;ResponseTimeRepartitionbye;ResponseTimeRepartitionbye_<10;ResponseTimeRepartitionbye_<20;ResponseTimeRepartitionbye_<30;ResponseTimeRepartitionbye_<40;ResponseTimeRepartitionbye_<50;ResponseTimeRepartitionbye_<100;ResponseTimeRepartitionbye_<150;ResponseTimeRepartitionbye_<200;ResponseTimeRepartitionbye_>=200;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_<5000;CallLengthRepartition_<10000;CallLengthRepartition_>=10000;
2019-03-25	15:41:17.885003	1553499677.885003;2019-03-25	15:41:17.885003	1553499677.885003;2019-03-25	15:41:17.890661	1553499677.890661;00:00:00;00:00:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2019-03-25	15:41:17.885003	1553499677.885003;2019-03-25	15:41:17.891046	1553499677.891046;2019-03-25	15:41:22.169820	1553499682.169820;00:00:04;00:00:04;3;2.80505;2.80112;0;0;12;12;12;3;0;0;9;9;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;00:00:00:004000;00:00:00:004000;00:00:00:008000;00:00:00:008000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:019000;00:00:00:019000;00:00:00:007000;00:00:00:007000;;11;0;0;1;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;9;0;0;0;0;0;0;
